Network,Qrel,Assortativity,Clustering,Betweenness,Path_length,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
2,0.7569296375,-0.2569974555,0,0.1426470588,3.1397058824,46.4583048997,26.67566575,1.2849216062,15.0023201856,8.1677592766,0.3934271207
3,0.3120020976,0.1048761158,0.6511877952,0.0054426019,1.5279323851,27.7834525026,14.0316472061,1.4873516291,40.6629213483,18.7640247595,1.9889826465
4,0.3888928404,0.0551874078,0.6488423968,0.0039492551,1.5094539049,24.0516735173,11.4367686368,1.4185565624,44.1538461538,18.3363705571,2.2743468554
5,0.4366808837,0.0323060668,0.6847063079,0.0044497546,1.5028222731,27.8147939018,14.311415228,1.6309371293,40.8701298701,16.2115484325,1.8474774047
6,0.4526397516,0.1569407117,0.6587421329,0.0172141584,1.5680672269,31.5780730897,16.1073302503,1.2281724175,22.1860465116,10.5378736965,0.8035053365
7,0.2690566364,-0.0712519555,0.6452561813,0.0079472611,1.5086247086,26.2474367738,14.8727475225,1.2896307651,29.3609022556,14.2371632438,1.2345186186
8,0.3232071629,0.0283264456,0.6482373826,0.0045282661,1.5252788643,23.881826742,10.7217498205,1.263570334,38.2083333333,15.079361816,1.7771198327
9,0.0964208011,0.2291503208,0.9049761533,0.0115333711,1.4728682171,27.5617732558,14.8372327784,1.311438489,23.8828125,10.4587142895,0.9244284746
10,0.2951015532,-0.2539911521,0.525515873,0.049122807,1.8842105263,29.4140625,19.4717452928,1.2169840808,14.71875,8.9525114319,0.5595319645
11,0.8969290662,-0.0303161204,0.488890225,0.0493691099,6.233125649,14.2636684303,4.1015364487,0.632880814,28.7857142857,8.3880178551,1.2942992546
12,0.9067157636,0.0693877551,0.5162520663,0.0415920533,7.0724397867,12.1621621622,1.8435479216,0.4345284123,31.1111111111,8.3525703887,1.9687197207
13,0.913500912,0.1212180641,0.4934293437,0.0370653833,8.1165536029,13.4020618557,3.1070689553,0.8969335489,35.6666666667,8.1683671699,2.3580044922
14,0.8108882521,-0.2654867257,0.3185185185,0.1527777778,3.4444444444,32.4120603015,19.367630193,0.97081158,13.9673366834,7.5212555379,0.3770064742
15,0.686496303,-0.0435940282,0.2589582461,0.0392825665,3.3569539926,21.8721736509,10.2583583339,0.9917129319,26.8317757009,10.3918425784,1.0046173409
17,0.5544590461,0.1829138362,0.7988385781,0.0079940919,2.1751315073,21.1968680089,7.2372747723,1.0446106345,39.7916666667,12.5481710708,1.8111724864
18,0.8351648352,-0.0145608267,0.1333333333,0.1072134387,3.3586956522,34.6799746515,19.8309696092,1.2228299715,17.102661597,8.354372762,0.5151526934
20,0.1215686275,-0.6235294118,0.5875,0.0833333333,1.5,43.45,29.3295499454,1.3116573485,10.116,7.9162203102,0.3540241348
21,0.2,-0.2380952381,0.4761904762,0.1333333333,1.6666666667,51.6285714286,29.9148587747,1.3378331552,10.336,7.4118219083,0.3314667525
22,0.4358974359,-0.375,0.3541666667,0.130952381,1.7857142857,51.575,30.969047047,1.3849778879,11.17,8.0697645567,0.3608908422
23,0.4957983193,0.1208791209,0.1851851852,0.2063492063,2.4444444444,53.4,29.3475638882,1.3124629566,11.61,7.195408258,0.3217884398
24,0.0873015873,-0.4673590504,0.7404761905,0.0515873016,1.3611111111,39.5777777778,30.1071256075,1.3464315893,10.178,7.9002731598,0.3533109565
26,0.3925615343,-0.0342711868,0.6740483938,0.0190985485,1.6302521008,30.2348336595,15.6662023632,1.2965441328,22.8287671233,12.0167460717,0.9945129811
27,0.2436363636,-0.1009822277,0.5848827501,0.0293619424,1.6166007905,36.7102163204,20.7823248895,1.4586332556,19.1822660099,10.2140288336,0.7168842856
28,0.556714472,0.0393724097,0.6857792208,0.0365497076,1.6578947368,31.25,21.4497763486,1.2467429261,15.4932432432,9.904269228,0.5756739556
29,0.6259354656,0.3500345054,0.5661808957,0.0273621664,2.5870056497,22.8448275862,12.0364573137,1.1175570057,26.1379310345,10.693130692,0.99283226
30,0.1272727273,-0.4666666667,0.5,0.1333333333,1.5333333333,56.9666666667,31.1058944039,1.3910978878,10.072,6.9618112586,0.3113416644
31,0.2528536838,-0.0966777791,0.5306349206,0.0461538462,1.6,39.0666666667,24.4892115325,1.4138852871,14.45,9.5516577968,0.55146522
33,0.3050348344,-0.2268819252,0.6964449692,0.0248917749,1.4978354978,38.1696428571,20.4807696091,1.3684289803,19.6383928571,10.17123698,0.6795943568
34,0.267987487,-0.1904965753,0.4779761905,0.0696969697,1.696969697,47.1857923497,24.1155781523,1.3808539881,14.8098360656,8.1306887761,0.465561885
35,0.4368131868,-0.0379746835,0.4802645503,0.0644688645,1.8380952381,38.2666666667,22.514916866,1.2998993313,15.06,9.2996272327,0.5369142286
36,0.2,0.1256830601,0.4541666667,0.0714285714,1.4285714286,51.95,33.0710976534,1.4789844489,11.028,8.28222289,0.3703922677
37,0.4033053059,-0.2828824336,0.5594630516,0.0588235294,2,32.2275759822,21.6345777613,1.2837760035,15.0809859155,9.810015241,0.5821173077
38,0.1397551398,-0.1637792712,0.6998073564,0.0196078431,1.3333333333,33.9220143382,24.526221823,1.4136679241,15.4983388704,10.4724363999,0.6036211991
39,0.2790780142,0.0296270376,0.7162816715,0.0227038184,1.3859649123,33.9222614841,23.7320019957,1.4107210881,15.8798586572,10.2374486101,0.608553153
40,0.3419354839,-0.1027611426,0.2987081701,0.0541353383,2.0285714286,40.5079365079,20.5645687171,1.3709712478,20.16,10.7683156632,0.7178877109
41,0.186377709,-0.1934675141,0.7297664141,0.0279761905,1.3916666667,35.1939655172,23.0825002336,1.3554510854,14.6344827586,9.586494662,0.56293835
42,0.195480226,-0.1382480108,0.7874177905,0.018452381,1.2583333333,41.3293650794,25.4784310195,1.4355469587,16.2634920635,10.3894223007,0.5853776308
43,0.1245465538,0.0154257495,0.6201233593,0.0172463768,1.3966666667,34.6835443038,21.9955179384,1.4287624242,19.3966244726,11.4211140063,0.7418810769
44,0.3559573941,-0.1220238095,0.4508354219,0.0505675955,1.8596491228,34.4256868587,23.1475266306,1.2980488371,15.6320754717,10.2638084363,0.5755657966
45,0.2268495128,-0.235278407,0.6523273023,0.0331027668,1.7282608696,35.917132216,18.4670288025,1.3802905386,19.4916201117,9.942498767,0.7431372488
46,0.2828356045,-0.0419033955,0.4091081141,0.0315942029,1.7266666667,32.5423728814,20.1648477776,1.3126197861,17.9788135593,10.2949909796,0.6701468321
49,0.5023923445,-0.0833333333,0,0.1444444444,2.1555555556,68.12,31.9509874652,1.4288915984,14.186,8.4379739274,0.3773576659
50,0.3732193732,-0.0582010582,0.3908424908,0.0641025641,1.7051282051,47.2048300537,25.3181846394,1.3650650311,15.4593023256,9.1345609727,0.4925025208
51,0.3333333333,-0.3247863248,0.6833333333,0.0892857143,1.5357142857,49.95,31.5831838167,1.4124429192,10.964,7.9580590598,0.3558952205
52,0.3142857143,-0.4534161491,0.1916666667,0.1607142857,1.9642857143,49.25,30.7825031471,1.3766353911,11.03,7.683039763,0.3435959837
53,0.4885844749,0.1793960924,0.0791666667,0.1297619048,2.8166666667,43.549382716,23.9650407601,1.1908324494,14.8074074074,7.9611677563,0.3955936063
54,0.5860566449,0.4892473118,0.141025641,0.1282051282,2.4102564103,52.6949241235,26.0411544141,1.2400549721,14.9501133787,8.1759148655,0.3893292793
55,0.2760540971,-0.0162117273,0.6929437509,0.0192307692,1.5,32.7800829876,20.8696722351,1.3443337661,20.7261410788,11.3495800846,0.7310907218
56,0.939707149,0.0107526882,0.5072829132,0.1112745098,2.6691176471,29.3192748798,15.6570715853,0.878004976,13.6635220126,8.2901390341,0.4648879124
57,0.5965958844,-0.0045112187,0.654812127,0.0118324549,2.2542402215,21.2813620072,8.3771777958,1.063902644,37.435483871,14.0271866995,1.7814544923
58,0.3587047939,-0.1159179636,0.7082513019,0.0170040486,1.6461538462,28.679245283,15.7461468801,1.2487506752,24.4025157233,11.8183949452,0.9372596852
59,0.394513672,-0.0998076025,0.6877074079,0.017259552,1.7594202899,26.6656240225,15.112187258,1.2817989936,25.2302158273,12.1911139633,1.0340367904
60,0.1297632555,-0.0520114426,0.7807594408,0.0065221223,1.39132734,30.5256869773,15.0676838219,1.4498885518,29.5092592593,11.5530141733,1.1116893072
61,0.7265822785,-0.0023201856,0.1511111111,0.1626373626,3.1142857143,44.375,23.6151564534,1.1578283036,14.3653846154,7.8597167843,0.3853543198
62,0.2642309696,0.0376662905,0.5275144855,0.0404347826,1.93,30.4,17.1791167201,1.2302221006,17.8615384615,9.8904931143,0.7082729231
63,0.4858611825,-0.1121009021,0.2546231546,0.0501282051,2.2030769231,33.5038814397,17.9056390231,1.2127228989,19.8073394495,10.3120816861,0.6984223004
65,0.1555555556,-0.1372872048,0.7755411255,0.0363636364,1.3272727273,48.4943181818,25.8093268416,1.4427852318,14.08125,8.2495998956,0.4611666538
66,0.4362938644,-0.0844206755,0.3591632903,0.0175568482,2.0534108937,25.9367872271,13.6507113027,1.3719481064,29.4646464646,12.6764819478,1.2740343722
67,0.3888888889,0.1584316226,0.3844444444,0.073992674,1.9619047619,36.698014629,22.3637729729,1.2521309004,13.8495297806,9.3354042497,0.5226822926
68,0.2630412412,-0.1388578219,0.4503918304,0.0391304348,1.9,33.5693779904,18.9359590606,1.3098276769,18.6411483254,9.9082117903,0.6853653406
69,0.5872100642,0.6137897531,0.8543340717,0.0410314323,1.8616600791,31.4432989691,16.0040684311,1.1490251501,17.2577319588,8.4313826513,0.6053379963
