Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
2,1.05,37.9233511586,23.109530437,1.1612975991,14.0277777778,7.9576997914,0.3998894606
3,1.05,20.4154218239,9.0153759614,1.0699282833,34.9718309859,12.4515645614,1.4777288437
4,1.05,19.5592683278,7.1305157998,0.9794516715,41.2830188679,12.3385839964,1.6948348561
5,1.05,23.4608695652,11.068427825,1.5653120744,41.38,13.4281644315,1.8990292257
6,1.05,27.1694764862,15.7239399639,1.2392200713,21.8881987578,11.4777634266,0.9045744797
7,1.05,24.8663101604,12.1374537302,1.3164916972,31.7882352941,12.2945173028,1.3335276336
8,1.05,22.7602905569,9.0852822377,1.4018894846,41.3571428571,13.2212336946,2.0400806497
9,1.05,25.6208119827,13.3868080707,1.2323555725,24,10.4897043955,0.9656555616
10,1.05,27.8571428571,17.1275183903,1.1269079755,15.303030303,9.534804751,0.6273440947
11,1.05,12.7136752137,2.8545618842,0.5598256442,30.8076923077,10.3143635128,2.0228131085
12,1.05,11.9778869779,2.0992638195,0.6329518568,29.7272727273,8.3240168307,2.5097855069
13,1.05,13.6597938144,2.4314384361,0.7018958178,38,14.4741148261,4.1783170456
14,1.05,26.9796557121,15.3146822433,0.812818938,12.9605633803,7.2433452484,0.3844368495
15,1.05,20.4819277108,8.8261949657,0.9688007589,27.1927710843,10.6334976863,1.1671780046
16,1.05,12.0190023753,2.1224045514,0.9491681705,44.8,7.0256672281,3.1419739019
17,1.05,17.3154362416,5.1708349756,1.0341669951,36.04,11.0108310313,2.2021662063
18,1.05,29.9744897959,15.3400394246,1.0957171018,17.1275510204,8.6377822245,0.6169844446
20,1.05,36,26.5918220511,1.189222435,8.844,7.457322844,0.3335016162
21,1.05,44.8285714286,28.8803160139,1.2915669964,9.786,7.3190302636,0.327316984
22,1.05,45.825,29.0324279901,1.2983696508,10.654,7.6698294636,0.3430052011
23,1.05,45.1111111111,26.1250553783,1.1683479948,11.142,7.5629250955,0.3382242924
24,1.05,36.2888888889,27.6200946709,1.2352081846,10.134,8.0756451135,0.3611538287
26,1.05,27.0393374741,13.1793508117,1.121900845,22.5217391304,10.5536705554,0.8983880984
27,1.05,30.3779482808,18.2644344083,1.4765920051,17.7189542484,9.5598954765,0.7728717416
28,1.05,30.7196969697,20.487732617,1.2609327773,15.8712121212,10.0422631934,0.6180585746
29,1.05,23.5275080906,11.716953508,1.1545057342,28.5339805825,11.5740046304,1.1404205628
30,1.05,49.3333333333,30.0850645855,1.3454449904,9.292,6.9643905692,0.3114570147
31,1.05,34.7845804989,21.6271854735,1.261323071,14.7074829932,9.3817095786,0.5471524139
33,1.05,33.710198431,18.5977686854,1.3250361552,18.6345177665,10.7320113402,0.7646241484
34,1.05,44.0639269406,24.2458336445,1.4188800922,14.3082191781,8.2079689548,0.4803350513
35,1.05,34.6153846154,20.8312980896,1.2317804785,14.5874125874,8.7040129571,0.5146790756
36,1.05,43.6,29.774821578,1.3315705013,10.254,8.376006447,0.3745863959
37,1.05,30.2783986995,19.3095321948,1.1998359501,15.2084942085,8.8759667074,0.5515257356
