Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
1,0.04,14.7058823529,1.6806722689,0.2882329162,13.9705882353,5.6645714968,0.9714659971
2,0.04,12.5,1.9454053758,0.307595598,11.575,5.4675748737,0.8644994939
3,0.04,55.5953624919,20.500566186,1.4388576715,45.1083743842,15.2908768582,1.0732091627
4,0.04,78.2216753716,11.0629629307,0.6345044399,50.3059210526,11.6362847523,0.6673867015
5,0.04,69.488388336,18.4355647383,1.1683064447,49.3895582329,13.9023000685,0.8810224691
6,0.04,19.5660036166,10.0742642318,1.1334432798,20.8481012658,9.7566447434,1.0977082954
7,0.04,33.9992279483,17.7861285805,1.4194875946,32.7834394904,15.6910126702,1.2522791416
8,0.04,69.7007742205,17.4531999282,1.1196232974,49.1893004115,14.5349433049,0.9324170477
9,0.04,30.6553911205,15.5894875062,1.3568907213,25.4621212121,11.9439380485,1.0395863692
10,0.04,13.1,5.2335456433,0.5233545643,12.38,7.2825544969,0.7282554497
11,0.04,0,0,0,0,0,0
12,0.04,0,0,0,0,0,0
13,0.04,0,0,0,0,0,0
14,0.04,11.5176151762,1.4467585707,0.2259457285,12.3414634146,6.2765912611,0.9802388691
15,0.04,11.2903225806,0,0,32,0,0
17,0.04,19.9633923124,7.630983488,1.0289616036,36.9090909091,11.7074533016,1.5786326812
18,0.04,13.8888888889,1.9641855033,1.1340230291,15.6666666667,1.2472191289,0.7200822998
19,0.04,17.6857142857,8.8220040298,0.3945320142,6.492,5.2807135881,0.2361606911
20,0.04,14.175,4.9378006238,0.2208251571,6.228,4.6664779009,0.208691236
21,0.04,15.9142857143,5.4399129645,0.2432803036,5.986,4.5450856978,0.2032624117
22,0.04,13.925,4.2757309317,0.1912165003,6.446,4.6362791115,0.2073407051
23,0.04,11.9555555556,3.027120214,0.1353769315,6.102,4.5903808121,0.2052880708
24,0.04,13.8,6.2798521647,0.2808435266,6.462,4.8220904181,0.2156504394
25,0.04,13.48,7.4759347242,0.3343339648,6.988,5.9038848227,0.2640297559
26,0.04,16.3752665245,6.037391653,0.7375847836,17.4626865672,7.665250837,0.9364594356
27,0.04,17.7670424047,6.2316043402,0.6924004822,17.4320987654,9.4149057962,1.046100644
28,0.04,14,5.7271284253,0.512249939,12.4,6.9212715595,0.6190573479
29,0.04,15,4.8112522432,1.3888888889,29.5833333333,15.4836383178,4.4697413754
30,0.04,18.7333333333,6.4252972262,0.2873480275,6.03,4.3507585546,0.1945718376
31,0.04,15.9075907591,5.1358055878,0.5110317562,11.8217821782,7.2636297824,0.7227581769
32,0.04,23.4,9.1454906921,0.4089987775,6.236,5.2562633115,0.2350672414
33,0.04,18.9149560117,6.0099417982,0.7632633716,18.0161290323,7.2767680159,0.9241504622
34,0.04,19.1947565543,5.2115805431,0.5524264327,11.8314606742,6.2893452885,0.6666692672
35,0.04,15.9706959707,4.7274038989,0.4955665824,11.7802197802,5.9222103792,0.620816334
36,0.04,15.025,6.1896587143,0.2768099529,6.51,5.2063326824,0.2328342758
37,0.04,13.2253711201,4.9676551469,0.5624761836,12.7307692308,8.1108870755,0.9183771162
38,0.04,16.7819548872,9.7355385663,0.7359375407,13.6685714286,9.0959259775,0.6875873737
39,0.04,16.0990712074,8.5001295383,0.6519301757,13.0235294118,8.3016319736,0.6367061074
40,0.04,17.0771756979,5.0823604402,0.9437706407,17.8275862069,9.4141088743,1.7481561311
41,0.04,17.9583333333,8.2694425783,0.6751971591,11.8866666667,6.7936604435,0.5547000524
42,0.04,18.1783536585,8.1610954906,0.6372744919,12.4756097561,7.6025117957,0.5936564335
43,0.04,19.2066115702,8.4441944019,0.7676540365,16.2231404959,8.5304390354,0.7754944578
44,0.04,13.0325814536,5.2302347756,0.5706653991,12.5,6.3028716056,0.6876996721
45,0.04,18.7179487179,7.2766999117,0.9025635422,17.1538461538,7.6966141791,0.9546474969
46,0.04,16.064516129,6.5250657338,0.8286841769,17.4516129032,8.5584846024,1.0869286314
47,0.04,16.9714285714,7.0661018899,0.3160056832,6.022,4.566565011,0.2042229958
48,0.04,20.1666666667,9.0967026993,0.4068169121,6.592,5.7946126704,0.2591429567
49,0.04,11.26,3.5513940925,0.1588231721,6.488,4.8742031144,0.21798099
50,0.04,17.4182139699,5.0110087764,0.5372365321,11.0114942529,4.8363904391,0.5185154813
51,0.04,14.875,6.1479163137,0.2749431759,6.546,5.1220976172,0.2290671692
52,0.04,14.075,4.712417108,0.2107456998,6.418,4.6371624945,0.2073802112
53,0.04,13.3254716981,2.1160800053,0.2906659429,10.7924528302,5.9060521903,0.8112586596
54,0.04,16.9230769231,3.9903056273,0.538052701,12.2545454545,6.0157918902,0.811169213
55,0.04,17.1031746032,7.7242448288,0.8142068955,16.3666666667,7.3853458506,0.7784838065
56,0.04,13.698630137,3.3805281166,0.3956608889,12.2602739726,6.4298690782,0.7525592532
57,0.04,19.5389266818,7.6336502525,1.0905214646,35.7755102041,13.3970226758,1.9138603823
58,0.04,18.4539473684,9.5797132249,1.0988684699,21.1578947368,10.1839045242,1.168173965
59,0.04,16.7826086957,6.7502012852,0.9546226206,22.82,8.4727563402,1.1982286927
60,0.04,44.8612153038,19.9808302183,1.5235240212,35.4651162791,15.1942443773,1.1585502724
61,0.04,13.9869281046,2.3818127004,0.3335204888,11.2156862745,6.1046871272,0.8548271803
62,0.04,16.8524590164,7.247014231,0.927885091,16.606557377,6.8551253735,0.8777088644
63,0.04,12.599469496,2.2350529902,0.4150389209,13.9310344828,6.7155559735,1.2470474375
64,0.04,34.53125,20.3945325385,1.5201187042,22.7944444444,11.8980377571,0.8868273741
65,0.04,22.0779220779,6.3799596284,0.6226203067,12.2095238095,6.6299396508,0.6470158589
