Graph,num_modules,Qvalue,Tvalue,Duration,SD,SE
poisson,10,0,0.1,0,0,0
poisson,2,0.1,0.1,0,0,0
poisson,2,0.2,0.1,0,0,0
poisson,2,0.3,0.1,0,0,0
poisson,2,0.4,0.1,0,0,0
poisson,5,0.1,0.1,0,0,0
poisson,5,0.2,0.1,0,0,0
poisson,5,0.3,0.1,0,0,0
poisson,5,0.4,0.1,0,0,0
poisson,5,0.5,0.1,0,0,0
poisson,5,0.6,0.1,0,0,0
poisson,5,0.7,0.1,0,0,0
poisson,10,0.1,0.1,0,0,0
poisson,10,0.2,0.1,0,0,0
poisson,10,0.3,0.1,0,0,0
poisson,10,0.4,0.1,0,0,0
poisson,10,0.5,0.1,0,0,0
poisson,10,0.6,0.1,0,0,0
poisson,10,0.7,0.1,0,0,0
poisson,10,0.8,0.1,0,0,0
poisson,100,0.1,0.1,0,0,0
poisson,100,0.2,0.1,0,0,0
poisson,100,0.3,0.1,0,0,0
poisson,100,0.4,0.1,0,0,0
poisson,100,0.5,0.1,0,0,0
poisson,100,0.6,0.1,0,0,0
poisson,100,0.7,0.1,0,0,0
poisson,100,0.8,0.1,0,0,0
poisson,100,0.9,0.1,0,0,0
poisson,125,0.1,0.1,0,0,0
poisson,125,0.2,0.1,0,0,0
poisson,125,0.3,0.1,0,0,0
poisson,125,0.4,0.1,0,0,0
poisson,125,0.5,0.1,0,0,0
poisson,125,0.6,0.1,0,0,0
poisson,125,0.7,0.1,0,0,0
poisson,125,0.8,0.1,0,0,0
poisson,125,0.9,0.1,0,0,0
geometric,10,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,2,0.1,0.1,140.7581395349,22.9020891964,0.349253586
geometric,2,0.2,0.1,140.9615640969,22.8208168171,0.3401548585
geometric,2,0.3,0.1,141.3050089445,22.7046446185,0.3395187874
geometric,2,0.4,0.1,142.4756234554,23.6820951829,0.354969734
geometric,5,0.1,0.1,141.0935723655,22.9505463992,0.3393477308
geometric,5,0.2,0.1,141.5195480226,22.9169789231,0.3445091236
geometric,5,0.3,0.1,142.2399189007,23.4093588567,0.3513556541
geometric,5,0.4,0.1,142.0151178301,22.7004532169,0.3384736015
geometric,5,0.5,0.1,142.9524667718,23.9932359362,0.3601191796
geometric,5,0.6,0.1,144.371714922,23.6348927051,0.3527203076
geometric,5,0.7,0.1,153.0241512873,26.4832727699,0.3997503597
geometric,10,0.1,0.1,140.2652329749,22.356782166,0.3346163844
geometric,10,0.2,0.1,140.9975330792,22.4187000088,0.3357311897
geometric,10,0.3,0.1,141.3890011223,22.7325980166,0.3405847657
geometric,10,0.4,0.1,141.4966246625,22.696878165,0.3404701964
geometric,10,0.5,0.1,141.9153949731,23.328892635,0.3494793613
geometric,10,0.6,0.1,144.4452587164,23.6670697886,0.352690302
geometric,10,0.7,0.1,148.4970799641,24.565674496,0.3681723039
geometric,10,0.8,0.1,165.047335925,30.4135878435,0.4599153636
geometric,100,0.1,0.1,149.2722464934,25.3308558033,0.3841095976
geometric,100,0.2,0.1,147.8842646715,24.9333913265,0.3812516467
geometric,100,0.3,0.1,151.3406723485,26.5789488842,0.4089553059
geometric,100,0.4,0.1,153.3760231103,26.7461931376,0.4149814944
geometric,100,0.5,0.1,160.6737020864,27.8104335771,0.4331654069
geometric,100,0.6,0.1,173.2902813299,32.5906390256,0.5212001084
geometric,100,0.7,0.1,193.8142370959,39.4718799125,0.6647321084
geometric,100,0.8,0.1,219.9328585961,51.0174562576,1.1506070853
geometric,100,0.9,0.1,0,0,0
geometric,125,0.1,0.1,150.0447831184,25.6144304948,0.3922158919
geometric,125,0.2,0.1,149.6477485929,25.8349090007,0.3956383101
geometric,125,0.3,0.1,152.0378416258,26.5399958196,0.4056282896
geometric,125,0.4,0.1,156.9978530534,27.45671898,0.4240704409
geometric,125,0.5,0.1,166.5940128649,30.3466561358,0.47732336
geometric,125,0.6,0.1,180.4940166493,35.9405251516,0.5796858895
geometric,125,0.7,0.1,203.6228786926,45.2944811582,0.8029623859
geometric,125,0.8,0.1,222.4631927213,51.0288733532,1.4675835305
geometric,125,0.9,0.1,0,0,0
poisson,10,0,0.18,157.789430223,20.5534750911,0.208818127
poisson,2,0.1,0.18,154.3890975535,19.9344362082,0.2008462825
poisson,2,0.2,0.18,154.7209588199,20.1374143589,0.2038141372
poisson,2,0.3,0.18,155.2540623403,20.3387872007,0.2056101914
poisson,2,0.4,0.18,154.9920790042,19.9794215449,0.2026410553
poisson,5,0.1,0.18,154.2980914874,19.940242023,0.200376615
poisson,5,0.2,0.18,154.4856940653,20.2935905542,0.2040510307
poisson,5,0.3,0.18,154.9457731959,20.286548986,0.2059786972
poisson,5,0.4,0.18,154.8346554033,20.4324010953,0.2073847849
poisson,5,0.5,0.18,155.4765401877,20.2350417834,0.204363087
poisson,5,0.6,0.18,156.2445992328,20.2071353688,0.2030278376
poisson,5,0.7,0.18,159.4206373923,20.5260253819,0.2091337291
poisson,10,0.1,0.18,154.8690920398,20.0879019371,0.2045106515
poisson,10,0.2,0.18,154.6961427985,20.4533406544,0.207160281
poisson,10,0.3,0.18,154.796376364,20.0979156366,0.2039163126
poisson,10,0.4,0.18,154.73183391,19.9683965203,0.2014442206
poisson,10,0.5,0.18,155.3021701121,20.1593472748,0.2044449198
poisson,10,0.6,0.18,155.7979839539,20.3475794875,0.206364479
poisson,10,0.7,0.18,158.1324130879,20.5229472172,0.2075249418
poisson,10,0.8,0.18,165.2566045464,21.6349475445,0.2189260728
poisson,100,0.1,0.18,157.7125742372,20.7749026364,0.2102231974
poisson,100,0.2,0.18,155.2981538462,20.3583795304,0.206177324
poisson,100,0.3,0.18,155.292498209,20.1083698935,0.2034264212
poisson,100,0.4,0.18,156.2082422729,20.417558867,0.2082882253
poisson,100,0.5,0.18,158.0560842276,20.7755310341,0.2090343328
poisson,100,0.6,0.18,162.187395485,21.5858541911,0.2206778051
poisson,100,0.7,0.18,171.0744513284,23.4496433398,0.2402975536
poisson,100,0.8,0.18,194.2175538935,29.2052630691,0.3062890064
poisson,100,0.9,0.18,280.9340674097,57.9007390778,0.6709550568
poisson,125,0.1,0.18,157.9022194947,20.5372818298,0.2077017498
poisson,125,0.2,0.18,155.5937468277,20.1603262605,0.2031222023
poisson,125,0.3,0.18,155.7160956821,20.3715731275,0.2050944989
poisson,125,0.4,0.18,157.0669512703,20.5084778194,0.2092701818
poisson,125,0.5,0.18,159.781483376,21.1597341116,0.21401875
