Graph,num_modules,Qvalue,Tvalue,Duration,SD,SE
geometric,10,0,0.04,0,0,0
geometric,125,0.1,0.04,0,0,0
geometric,125,0.2,0.04,0,0,0
geometric,125,0.3,0.04,0,0,0
geometric,125,0.4,0.04,0,0,0
geometric,125,0.5,0.04,0,0,0
geometric,125,0.6,0.04,0,0,0
geometric,125,0.7,0.04,0,0,0
geometric,125,0.8,0.04,0,0,0
geometric,125,0.9,0.04,0,0,0
geometric,10,0,0.05,0,0,0
geometric,125,0.1,0.05,0,0,0
geometric,125,0.2,0.05,0,0,0
geometric,125,0.3,0.05,0,0,0
geometric,125,0.4,0.05,0,0,0
geometric,125,0.5,0.05,0,0,0
geometric,125,0.6,0.05,0,0,0
geometric,125,0.7,0.05,0,0,0
geometric,125,0.8,0.05,0,0,0
geometric,125,0.9,0.05,0,0,0
geometric,10,0,0.06,0,0,0
geometric,125,0.1,0.06,0,0,0
geometric,125,0.2,0.06,0,0,0
geometric,125,0.3,0.06,0,0,0
geometric,125,0.4,0.06,0,0,0
geometric,125,0.5,0.06,0,0,0
geometric,125,0.6,0.06,0,0,0
geometric,125,0.7,0.06,0,0,0
geometric,125,0.8,0.06,0,0,0
geometric,125,0.9,0.06,0,0,0
geometric,10,0,0.07,188.68,44.1073417925,6.2377200963
geometric,125,0.1,0.07,199.3076923077,47.3162593869,13.1231691833
geometric,125,0.2,0.07,210.7777777778,43.3173759793,14.4391253264
geometric,125,0.3,0.07,199,57.8322697857,15.4563242456
geometric,125,0.4,0.07,216,0,0
geometric,125,0.5,0.07,146,0,0
geometric,125,0.6,0.07,0,0,0
geometric,125,0.7,0.07,0,0,0
geometric,125,0.8,0.07,0,0,0
geometric,125,0.9,0.07,0,0,0
geometric,10,0,0.08,183.1316546763,41.6364093158,1.1167754779
geometric,125,0.1,0.08,188.9598086124,43.8127192207,1.3553206741
geometric,125,0.2,0.08,188.2821917808,43.1216374798,1.303131325
geometric,125,0.3,0.08,192.1009564293,42.9792897898,1.4010848047
geometric,125,0.4,0.08,195.192408377,45.0290004861,1.6290920627
geometric,125,0.5,0.08,202.975257732,47.6439912611,2.1634022
geometric,125,0.6,0.08,215.1458333333,50.730800795,3.6611801869
geometric,125,0.7,0.08,200.7857142857,32.6981401206,8.7389455369
geometric,125,0.8,0.08,0,0,0
geometric,125,0.9,0.08,0,0,0
geometric,10,0,0.09,166.2811887655,33.7598082923,0.6100948776
geometric,125,0.1,0.09,173.2880490296,35.4748243585,0.6545883634
geometric,125,0.2,0.09,173.571616727,36.2212027174,0.6572649465
geometric,125,0.3,0.09,175.6145139814,35.5517739486,0.6486513282
geometric,125,0.4,0.09,181.299270073,38.4360097227,0.7165860735
geometric,125,0.5,0.09,191.4705429342,41.3721383302,0.8118428933
geometric,125,0.6,0.09,202.6879882813,46.0824012751,1.0182868261
geometric,125,0.7,0.09,212.5577130529,49.0421594202,1.6107558514
geometric,125,0.8,0.09,221.5909090909,47.1512644108,5.8039194379
geometric,125,0.9,0.09,0,0,0
geometric,10,0,0.11,127.6235167206,18.7258733376,0.2510883653
geometric,125,0.1,0.11,131.7679757162,19.1712332832,0.2640605623
geometric,125,0.2,0.11,131.4046982429,19.2910216157,0.2665970925
geometric,125,0.3,0.11,133.6112464855,19.8373977059,0.2715923222
geometric,125,0.4,0.11,136.446394866,20.1990532173,0.277507699
geometric,125,0.5,0.11,142.7075633454,22.0106665881,0.3038049942
geometric,125,0.6,0.11,153.684158219,25.1524041829,0.3546111154
geometric,125,0.7,0.11,175.8454642476,32.3394420563,0.4724737941
geometric,125,0.8,0.11,217.72,47.2436348371,0.7957263567
geometric,125,0.9,0.11,237.0576923077,51.2187666409,7.1027649765
geometric,10,0,0.12,116.1417807166,15.6353833563,0.1938883242
geometric,125,0.1,0.12,118.8751921303,16.4359353771,0.2037686628
geometric,125,0.2,0.12,118.4735788014,16.1016175851,0.199854395
geometric,125,0.3,0.12,119.8940070867,16.3372591204,0.2027791941
geometric,125,0.4,0.12,121.7980303267,16.6738338488,0.2084717894
geometric,125,0.5,0.12,126.4760784314,17.3804763217,0.2176815293
geometric,125,0.6,0.12,134.1202521416,19.3081505153,0.2454712407
geometric,125,0.7,0.12,150.4687862229,23.8076058729,0.3063608103
geometric,125,0.8,0.12,189.200229709,37.1462708276,0.5139414396
geometric,125,0.9,0.12,227.4334319527,53.7185301357,2.0660973129
geometric,10,0,0.13,106.6330925446,13.5962652169,0.1587304941
geometric,125,0.1,0.13,109.5297932712,14.252977561,0.1656763047
geometric,125,0.2,0.13,108.9108210984,13.7842731126,0.1607174411
geometric,125,0.3,0.13,109.7048217457,13.964054777,0.1632023246
geometric,125,0.4,0.13,111.0871759891,14.0097768169,0.1636361412
