Graph,Mod type,num_modules,Qvalue,Tvalue,Duration,SD,SE
geometric,POISSON,10,0.1,0.1,141.4138168465,22.8325318258,0.3459077494
geometric,POISSON,10,0.2,0.1,140.5339213026,22.9516354402,0.3451471312
geometric,POISSON,10,0.3,0.1,142.4316481523,23.2545090828,0.3501375164
geometric,POISSON,10,0.4,0.1,142.2867244526,23.3221282654,0.3522353237
geometric,POISSON,10,0.5,0.1,143.5677506775,23.5093855578,0.3532949848
geometric,POISSON,10,0.6,0.1,147.029139372,24.8327372378,0.3732242313
geometric,POISSON,10,0.7,0.1,150.8449367089,25.4784223611,0.3830583852
geometric,POISSON,10,0.8,0.1,168.2681992337,32.4591904733,0.5022933627
geometric,GEOMETRIC,10,0.1,0.1,142.5755249492,23.1702251443,0.3481588296
geometric,GEOMETRIC,10,0.2,0.1,142.0936736959,23.3873737229,0.3484448563
geometric,GEOMETRIC,10,0.3,0.1,142.705593938,23.0828011675,0.3445961935
geometric,GEOMETRIC,10,0.4,0.1,142.7748957851,23.4795901372,0.3573133087
geometric,GEOMETRIC,10,0.5,0.1,144.1366705471,23.5181389109,0.3588569545
geometric,GEOMETRIC,10,0.6,0.1,147.8782549109,24.8468314267,0.3755200542
geometric,GEOMETRIC,10,0.7,0.1,155.0400361909,27.7345314164,0.4171195788
geometric,GEOMETRIC,10,0.8,0.1,181.5968639353,38.9724926699,0.6197832736
geometric,CONSTANT,10,0.1,0.1,140.2652329749,22.356782166,0.3346163844
geometric,CONSTANT,10,0.2,0.1,140.9975330792,22.4187000088,0.3357311897
geometric,CONSTANT,10,0.3,0.1,141.3890011223,22.7325980166,0.3405847657
geometric,CONSTANT,10,0.4,0.1,141.4966246625,22.696878165,0.3404701964
geometric,CONSTANT,10,0.5,0.1,141.9153949731,23.328892635,0.3494793613
geometric,CONSTANT,10,0.6,0.1,144.4452587164,23.6670697886,0.352690302
geometric,CONSTANT,10,0.7,0.1,148.4970799641,24.565674496,0.3681723039
geometric,CONSTANT,10,0.8,0.1,165.047335925,30.4135878435,0.4599153636
geometric,CONSTANT,10,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,POISSON,10,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,GEOMETRIC,10,0,0.1,144.4426078972,23.9984630475,0.3636130765
