Graph,Num_modules,Qvalue,Tvalue,Epidemic_size(%),SD,SE
poisson,10,0,0.1,0,0,0
poisson,2,0.1,0.1,0,0,0
poisson,2,0.2,0.1,0,0,0
poisson,2,0.3,0.1,0,0,0
poisson,2,0.4,0.1,0,0,0
poisson,5,0.1,0.1,0,0,0
poisson,5,0.2,0.1,0,0,0
poisson,5,0.3,0.1,0,0,0
poisson,5,0.4,0.1,0,0,0
poisson,5,0.5,0.1,0,0,0
poisson,5,0.6,0.1,0,0,0
poisson,5,0.7,0.1,0,0,0
poisson,10,0.1,0.1,0,0,0
poisson,10,0.2,0.1,0,0,0
poisson,10,0.3,0.1,0,0,0
poisson,10,0.4,0.1,0,0,0
poisson,10,0.5,0.1,0,0,0
poisson,10,0.6,0.1,0,0,0
poisson,10,0.7,0.1,0,0,0
poisson,10,0.8,0.1,0,0,0
poisson,100,0.1,0.1,0,0,0
poisson,100,0.2,0.1,0,0,0
poisson,100,0.3,0.1,0,0,0
poisson,100,0.4,0.1,0,0,0
poisson,100,0.5,0.1,0,0,0
poisson,100,0.6,0.1,0,0,0
poisson,100,0.7,0.1,0,0,0
poisson,100,0.8,0.1,0,0,0
poisson,100,0.9,0.1,0,0,0
poisson,125,0.1,0.1,0,0,0
poisson,125,0.2,0.1,0,0,0
poisson,125,0.3,0.1,0,0,0
poisson,125,0.4,0.1,0,0,0
poisson,125,0.5,0.1,0,0,0
poisson,125,0.6,0.1,0,0,0
poisson,125,0.7,0.1,0,0,0
poisson,125,0.8,0.1,0,0,0
poisson,125,0.9,0.1,0,0,0
geometric,2,0,0.1,26.0134687787,1.9362946878,0.0293377983
geometric,5,0,0.1,26.0134687787,1.9362946878,0.0293377983
geometric,10,0,0.1,26.0134687787,1.9362946878,0.0293377983
geometric,100,0,0.1,26.0134687787,1.9362946878,0.0293377983
geometric,125,0,0.1,26.0134687787,1.9362946878,0.0293377983
geometric,2,0.1,0.1,26.2855069767,1.8143379082,0.0276683937
geometric,2,0.2,0.1,26.3100133304,1.8440232089,0.0274860211
geometric,2,0.3,0.1,26.3174597496,1.8248901836,0.0272888879
geometric,2,0.4,0.1,26.2701348012,1.8099795078,0.0271296918
geometric,5,0.1,0.1,26.2631744644,1.7900883345,0.0264683203
geometric,5,0.2,0.1,26.1679028249,1.8491323321,0.0277978595
geometric,5,0.3,0.1,26.2256634377,1.8304889756,0.0274741677
geometric,5,0.4,0.1,26.2463116941,1.8188284987,0.0271195216
geometric,5,0.5,0.1,26.2008447849,1.8505730518,0.0277756136
geometric,5,0.6,0.1,26.1371982183,1.8405815965,0.0274683078
geometric,5,0.7,0.1,26.0005468216,1.9221492541,0.0290137802
geometric,10,0.1,0.1,26.4494175627,1.7956798568,0.0268761353
geometric,10,0.2,0.1,26.4817380579,1.8234423153,0.0273069561
geometric,10,0.3,0.1,26.4272031425,1.8509410323,0.0277312042
geometric,10,0.4,0.1,26.4611611161,1.7976139306,0.0269655573
geometric,10,0.5,0.1,26.3529376122,1.8237244778,0.0273203737
geometric,10,0.6,0.1,26.2596513435,1.8952766981,0.0282437039
geometric,10,0.7,0.1,26.166212938,1.9070694573,0.0285817577
geometric,10,0.8,0.1,25.6612920192,2.176102563,0.0329071008
geometric,100,0.1,0.1,25.4442423546,1.954645305,0.0296396627
geometric,100,0.2,0.1,25.6236871639,1.9711830762,0.0301409778
geometric,100,0.3,0.1,25.3538494318,2.0183202123,0.0310547555
geometric,100,0.4,0.1,25.2955127588,2.0581140989,0.0319327412
geometric,100,0.5,0.1,24.7879791363,2.2594654889,0.0351926296
geometric,100,0.6,0.1,23.8018005115,2.4813000946,0.0396817588
geometric,100,0.7,0.1,21.6954225752,3.0239187499,0.0509247568
geometric,100,0.8,0.1,16.6057782299,3.412218766,0.076956465
geometric,100,0.9,0.1,0,0,0
geometric,125,0.1,0.1,25.3602344666,1.9692117885,0.0301531653
geometric,125,0.2,0.1,25.4135201689,1.9761737234,0.0302633167
geometric,125,0.3,0.1,25.3667157206,2.0012682748,0.0305867052
geometric,125,0.4,0.1,25.0786688931,2.0877700363,0.0322457159
geometric,125,0.5,0.1,24.3518728352,2.3077697605,0.0362989718
geometric,125,0.6,0.1,23.0629422477,2.6347662694,0.0424962302
geometric,125,0.7,0.1,20.1567944689,3.280577881,0.0581567682
geometric,125,0.8,0.1,14.9433581472,3.1386337486,0.0902666842
geometric,125,0.9,0.1,0,0,0
poisson,10,0,0.18,55.7398596201,1.9211063824,0.0195179567
poisson,2,0.1,0.18,55.9961323723,1.8403063118,0.0185417173
poisson,2,0.2,0.18,55.9875384143,1.8834601677,0.0190628152
poisson,2,0.3,0.18,56.0117199796,1.8649685879,0.0188534618
poisson,2,0.4,0.18,55.9915893427,1.8584432491,0.0188492395
poisson,5,0.1,0.18,55.95950722,1.8483105483,0.018573406
poisson,5,0.2,0.18,55.9463158427,1.8704038684,0.0188068167
poisson,5,0.3,0.18,56.0080731959,1.8660802982,0.0189471747
poisson,5,0.4,0.18,55.9580065932,1.8674101141,0.0189538392
poisson,5,0.5,0.18,55.9750152999,1.866533246,0.0188509863
poisson,5,0.6,0.18,55.9125509792,1.8799025129,0.0188880084
poisson,5,0.7,0.18,55.8449828714,1.9089379129,0.0194496156
poisson,10,0.1,0.18,56.0152280265,1.875805634,0.0190971777
poisson,10,0.2,0.18,55.9923943373,1.8725581752,0.0189660792
poisson,10,0.3,0.18,55.9851894173,1.8683911461,0.0189569625
poisson,10,0.4,0.18,55.9818542642,1.8720923371,0.0188859522
poisson,10,0.5,0.18,55.9659631801,1.8928386194,0.0191961195
poisson,10,0.6,0.18,55.9102046904,1.9061549171,0.0193321602
poisson,10,0.7,0.18,55.7822137014,1.8859400506,0.0190703409
poisson,10,0.8,0.18,55.5798863404,1.9568062499,0.0198011068
poisson,100,0.1,0.18,56.019323162,1.9055285451,0.0192822229
poisson,100,0.2,0.18,55.9461723077,1.8741934594,0.018980695
poisson,100,0.3,0.18,55.8935073176,1.8466072945,0.0186812116
poisson,100,0.4,0.18,55.8157654282,1.9038075076,0.0194215523
poisson,100,0.5,0.18,55.6284227576,1.9070176405,0.0191875798
poisson,100,0.6,0.18,55.2158476171,1.9761995406,0.0202032022
poisson,100,0.7,0.18,54.4260957681,2.0939640091,0.0214576581
poisson,100,0.8,0.18,52.3201462824,2.497921426,0.0261968492
poisson,100,0.9,0.18,42.4733812273,5.3845363071,0.0623961269
poisson,125,0.1,0.18,56.0154127033,1.925450842,0.0194728549
