Graph,Num_modules,Qvalue,Tvalue,Epidemic_size(%),SD,SE
geometric,10,0,0.04,0,0,0
geometric,125,0.1,0.04,0,0,0
geometric,125,0.2,0.04,0,0,0
geometric,125,0.3,0.04,0,0,0
geometric,125,0.4,0.04,0,0,0
geometric,125,0.5,0.04,0,0,0
geometric,125,0.6,0.04,0,0,0
geometric,125,0.7,0.04,0,0,0
geometric,125,0.8,0.04,0,0,0
geometric,125,0.9,0.04,0,0,0
geometric,10,0,0.05,0,0,0
geometric,125,0.1,0.05,0,0,0
geometric,125,0.2,0.05,0,0,0
geometric,125,0.3,0.05,0,0,0
geometric,125,0.4,0.05,0,0,0
geometric,125,0.5,0.05,0,0,0
geometric,125,0.6,0.05,0,0,0
geometric,125,0.7,0.05,0,0,0
geometric,125,0.8,0.05,0,0,0
geometric,125,0.9,0.05,0,0,0
geometric,10,0,0.06,0,0,0
geometric,125,0.1,0.06,0,0,0
geometric,125,0.2,0.06,0,0,0
geometric,125,0.3,0.06,0,0,0
geometric,125,0.4,0.06,0,0,0
geometric,125,0.5,0.06,0,0,0
geometric,125,0.6,0.06,0,0,0
geometric,125,0.7,0.06,0,0,0
geometric,125,0.8,0.06,0,0,0
geometric,125,0.9,0.06,0,0,0
geometric,10,0,0.07,10.9214,0.7388098808,0.1044834953
geometric,125,0.1,0.07,10.9715384615,0.6468842026,0.1794133971
geometric,125,0.2,0.07,11.3111111111,1.3072655468,0.4357551823
geometric,125,0.3,0.07,10.695,0.5491389364,0.1467635541
geometric,125,0.4,0.07,11.47,0,0
geometric,125,0.5,0.07,10.99,0,0
geometric,125,0.6,0.07,0,0,0
geometric,125,0.7,0.07,0,0,0
geometric,125,0.8,0.07,0,0,0
geometric,125,0.9,0.07,0,0,0
geometric,10,0,0.08,13.7426402878,2.0111134412,0.0539422638
geometric,125,0.1,0.08,13.1442009569,1.9061494687,0.0589656116
geometric,125,0.2,0.08,13.2030136986,2.0072396491,0.06065857
geometric,125,0.3,0.08,12.8978320935,1.8532262065,0.0604134477
geometric,125,0.4,0.08,12.7245287958,1.757723618,0.0635922087
geometric,125,0.5,0.08,12.2439381443,1.6233053833,0.0737105004
geometric,125,0.6,0.08,11.8219791667,1.5262232934,0.1101456787
geometric,125,0.7,0.08,11.6657142857,1.3484261423,0.3603820454
geometric,125,0.8,0.08,0,0,0
geometric,125,0.9,0.08,0,0,0
geometric,10,0,0.09,19.8049281515,2.3121509699,0.0417843446
geometric,125,0.1,0.09,18.9575076609,2.4775418884,0.0457160851
geometric,125,0.2,0.09,19.0024102733,2.4425617538,0.0443223885
geometric,125,0.3,0.09,18.7974234354,2.5657334562,0.0468124718
geometric,125,0.4,0.09,18.3802572124,2.6029542593,0.0485284707
geometric,125,0.5,0.09,17.2825914517,2.7701286625,0.0543580622
geometric,125,0.6,0.09,15.8315087891,2.8134128933,0.0621682292
geometric,125,0.7,0.09,13.7583926645,2.4694102002,0.0811060723
geometric,125,0.8,0.09,11.7548484848,1.4086262838,0.1733899095
geometric,125,0.9,0.09,0,0,0
geometric,10,0,0.1,26.0134687787,1.9362946878,0.0293377983
geometric,125,0.1,0.1,25.3602344666,1.9692117885,0.0301531653
geometric,125,0.2,0.1,25.4135201689,1.9761737234,0.0302633167
geometric,125,0.3,0.1,25.3667157206,2.0012682748,0.0305867052
geometric,125,0.4,0.1,25.0786688931,2.0877700363,0.0322457159
geometric,125,0.5,0.1,24.3518728352,2.3077697605,0.0362989718
geometric,125,0.6,0.1,23.0629422477,2.6347662694,0.0424962302
geometric,125,0.7,0.1,20.1567944689,3.280577881,0.0581567682
geometric,125,0.8,0.1,14.9433581472,3.1386337486,0.0902666842
geometric,125,0.9,0.1,0,0,0
geometric,10,0,0.11,31.4660104279,1.5947719541,0.021383712
geometric,125,0.1,0.11,30.9805179283,1.6700833819,0.0230033796
geometric,125,0.2,0.11,31.0306455309,1.6610700033,0.0229555719
geometric,125,0.3,0.11,31.0303411434,1.660318867,0.0227313009
geometric,125,0.4,0.11,30.9601679879,1.7025938814,0.0233913394
geometric,125,0.5,0.11,30.5614212231,1.7967742204,0.0248002022
geometric,125,0.6,0.11,29.7626634864,2.0145313833,0.0284018663
geometric,125,0.7,0.11,27.7321985059,2.5285980759,0.0369423914
geometric,125,0.8,0.11,21.942987234,3.9762191759,0.0669716124
geometric,125,0.9,0.11,12.4686538462,2.178561654,0.3021121442
geometric,10,0,0.12,36.1572720283,1.4059108435,0.017434155
geometric,125,0.1,0.12,35.902805103,1.4714561813,0.0182427499
geometric,125,0.2,0.12,35.9206146973,1.4492547529,0.0179882506
geometric,125,0.3,0.12,35.9703266061,1.4208629757,0.0176358499
