Graph#,Excess_degree
1,1.1538461538
2,1.7368421053
3,49.8836001731
4,67.9075570342
5,60.532076619
6,17.109929078
7,34.284230406
8,60.5908410655
9,29.8754578755
10,7.4745762712
11,4.8614718615
12,5.1140350877
13,5.6129032258
14,2.0909090909
15,5.8050314465
16,14.7643484132
17,30.593045718
18,2.3666666667
19,4.5263157895
20,3.5
21,2.5
22,2.2727272727
23,1.7
24,4.8695652174
25,5.8125
26,16.4527559055
27,10.9316239316
28,8.8
29,11.2955974843
30,2.25
31,5.7555555556
32,3
33,11.1779661017
34,4.4074074074
35,5.5365853659
36,3.1875
37,5.3673469388
38,11.5964912281
39,10.9906542056
40,5.3137254902
41,8.9726027397
42,10.4943820225
43,13.8895027624
44,5.1538461538
45,10.2912621359
46,7.9587628866
47,4.75
48,4
49,1.6923076923
50,4.1
51,3.2
52,2.1111111111
53,2.0952380952
54,2.1052631579
55,14.3230769231
56,4
57,26.3576998051
58,17.1803278689
59,17.908045977
60,40.2015638575
61,1.9444444444
62,9.6116504854
63,5.7230769231
64,30
65,6.3684210526
66,12.1616766467
67,4.2424242424
68,8.5473684211
69,10.4380952381
