Graph,num_modules,Qvalue,Tvalue,module#,Invasiontime(thresh=20),SD,SE
geometric,10,0.0,0.1,0,32.853994490358126,11.303509012690254,0.17126528807106445
geometric,10,0.0,0.1,1,34.247245179063363,11.634180636281542,0.17627546418608397
geometric,10,0.0,0.1,2,35.124655647382923,11.845881601791465,0.17948305457259794
geometric,10,0.0,0.1,3,35.830119375573922,12.010252434078382,0.18197352172846032
geometric,10,0.0,0.1,4,36.446969696969695,12.141561989637443,0.18396306044905217
geometric,10,0.0,0.1,5,37.013314967860424,12.258008642502867,0.18572740367428586
geometric,10,0.0,0.1,6,37.628787878787875,12.414156567702044,0.18809328132881883
geometric,10,0.0,0.1,7,38.281680440771353,12.525890341870342,0.18978621730106579
geometric,10,0.0,0.1,8,39.095500459136822,12.690371032566768,0.19227834897828436
geometric,10,0.0,0.1,9,40.324150596877871,12.990922692251436,0.19683216200380962
geometric,10,0.1,0.1,0,31.41442652329749,10.602834363269265,0.15869377234623697
geometric,10,0.1,0.1,1,32.962141577060933,10.899905070187335,0.16314006184951427
geometric,10,0.1,0.1,2,33.899417562724011,11.057197319573948,0.16549427201264372
geometric,10,0.1,0.1,3,34.644265232974909,11.21226340330052,0.16781516291279541
geometric,10,0.1,0.1,4,35.299059139784944,11.334319178030881,0.16964198493650862
geometric,10,0.1,0.1,5,35.922491039426525,11.464191385235317,0.17158579635316165
geometric,10,0.1,0.1,6,36.544578853046595,11.568085121186728,0.17314078517184858
geometric,10,0.1,0.1,7,37.234543010752688,11.68661345388611,0.1749148115879488
geometric,10,0.1,0.1,8,38.081989247311824,11.836759233893996,0.17716205976847899
geometric,10,0.1,0.1,9,39.319668458781365,12.008853076785886,0.17973780698760783
geometric,10,0.2,0.1,0,30.485759138820363,10.491699916900561,0.15711842763319239
geometric,10,0.2,0.1,1,32.414666965687374,10.773184845935814,0.16133380453138385
geometric,10,0.2,0.1,2,33.535546086566498,10.942397610819222,0.1638678498971991
geometric,10,0.2,0.1,3,34.406144875532632,11.123130625077472,0.16657441673065582
geometric,10,0.2,0.1,4,35.179860955371161,11.304187249154053,0.16928582978219209
geometric,10,0.2,0.1,5,35.889212827988338,11.409592474510552,0.17086432548865602
geometric,10,0.2,0.1,6,36.616954474097334,11.545513922470795,0.17289981681554187
geometric,10,0.2,0.1,7,37.373177842565596,11.680034085910512,0.17491432320935915
geometric,10,0.2,0.1,8,38.279210585333033,11.813905988605802,0.17691912157591036
geometric,10,0.2,0.1,9,39.662031845705314,12.030346636172661,0.18016042798869053
geometric,10,0.3,0.1,0,29.371492704826039,10.428272237390553,0.15623866018173238
geometric,10,0.3,0.1,1,32.117620650953981,10.853874509573156,0.16261512670105582
geometric,10,0.3,0.1,2,33.588327721661052,11.124224514683831,0.16666556972911256
geometric,10,0.3,0.1,3,34.709539842873177,11.313432166024388,0.16950032022935249
geometric,10,0.3,0.1,4,35.652300785634118,11.518612410167114,0.17257437561560138
geometric,10,0.3,0.1,5,36.539618406285072,11.69475941754191,0.17521344868549915
geometric,10,0.3,0.1,6,37.404938271604941,11.844024585182881,0.1774497721409235
geometric,10,0.3,0.1,7,38.296071829405165,11.986585106041685,0.1795856451088278
geometric,10,0.3,0.1,8,39.357800224466892,12.134836056369787,0.18180677333818893
geometric,10,0.3,0.1,9,40.926150392817057,12.374829667947509,0.1854024102252502
geometric,10,0.4,0.1,0,27.54072907290729,10.383224327888266,0.15575615292067496
geometric,10,0.4,0.1,1,31.315256525652565,10.821825606275796,0.16233550107212008
geometric,10,0.4,0.1,2,33.346984698469846,11.177611889827896,0.16767256218512888
geometric,10,0.4,0.1,3,34.749324932493252,11.442738392558034,0.17164965858587261
geometric,10,0.4,0.1,4,35.912916291629166,11.654234179195289,0.17482225401916904
geometric,10,0.4,0.1,5,36.951845184518454,11.864120577663655,0.17797070742280049
geometric,10,0.4,0.1,6,37.965796579657969,12.029224849011248,0.18044739533050577
geometric,10,0.4,0.1,7,39.004725472547257,12.203060851342014,0.18305506575224811
geometric,10,0.4,0.1,8,40.222997299729975,12.422559485690194,0.18634770990379437
geometric,10,0.4,0.1,9,41.917191719171917,12.714916845397864,0.1907332895838757
geometric,10,0.5,0.1,0,24.848294434470375,9.7699463034080498,0.14635905129731794
geometric,10,0.5,0.1,1,30.257630161579893,10.4616535033808,0.15672119725181732
geometric,10,0.5,0.1,2,32.98563734290844,10.99444000978691,0.16470262572644565
geometric,10,0.5,0.1,3,34.844703770197484,11.337095882328159,0.16983579502637289
geometric,10,0.5,0.1,4,36.302513464991023,11.580180747384693,0.17347733707067259
geometric,10,0.5,0.1,5,37.60996409335727,11.815876084608623,0.17700818001289662
geometric,10,0.5,0.1,6,38.836175942549374,12.042772444142424,0.18040720953597578
geometric,10,0.5,0.1,7,40.107719928186718,12.227370686439714,0.18317259050888443
geometric,10,0.5,0.1,8,41.547127468581685,12.447322605403851,0.18646758857651824
geometric,10,0.5,0.1,9,43.555430879712745,12.78771491439176,0.19156684847674874
geometric,10,0.6,0.1,0,22.308016877637129,9.1971978250288764,0.1370580518563656
geometric,10,0.6,0.1,1,29.894070619586941,10.542728134553601,0.1571093507895352
geometric,10,0.6,0.1,2,33.644015101043749,11.228476894108606,0.16732848392503816
geometric,10,0.6,0.1,3,36.163446591161446,11.792394174286146,0.17573206567892211
geometric,10,0.6,0.1,4,38.111925383077946,12.113036252687515,0.18051032308350606
geometric,10,0.6,0.1,5,39.788807461692208,12.441362852884996,0.18540309640988054
