Graph,Num_modules,Qvalue,Tvalue,Type,burden,SD,SE,episize
geometric,10,0,0.18,Local,650.6074156885,23.9611193075,0.2312737307,55.0589780138
geometric,125,0.1,0.18,Local,673.55723422,23.9631168143,0.2307027165,55.3570006488
geometric,125,0.2,0.18,Local,889.6464618507,28.7506358679,0.2761549588,55.099344958
geometric,125,0.3,0.18,Local,1265.9221656641,34.9423290865,0.3361549138,55.1438186025
geometric,125,0.4,0.18,Local,1943.1058606368,45.5150087345,0.437260425,55.2735782187
geometric,125,0.5,0.18,Local,2902.7489760626,63.9604450756,0.6101995948,55.4282579412
geometric,125,0.6,0.18,Local,3723.674012436,77.8974498748,0.7448931656,55.5737417703
geometric,125,0.7,0.18,Local,4218.624780235,85.4963417631,0.8224224496,55.6777496067
geometric,125,0.8,0.18,Local,4479.4099356026,95.7844306753,0.9187136101,55.4931591536
geometric,125,0.9,0.18,Local,4348.4721474838,200.1717122776,1.9982232865,51.7867603388
geometric,10,0,0.18,Global,4854.2903856903,87.1046445634,0.8407376906,55.0589780138
geometric,125,0.1,0.18,Global,4861.1428306609,88.2579064429,0.849694926,55.3570006488
geometric,125,0.2,0.18,Global,4619.2880339515,86.9027794,0.8347166156,55.099344958
geometric,125,0.3,0.18,Global,4247.4596945858,83.2918619172,0.8012908525,55.1438186025
geometric,125,0.4,0.18,Global,3583.2519612367,75.263601457,0.7230536756,55.2735782187
geometric,125,0.5,0.18,Global,2639.0768180577,59.5184470698,0.5678217567,55.4282579412
geometric,125,0.6,0.18,Global,1832.700164594,43.5295599517,0.4162507471,55.5737417703
geometric,125,0.7,0.18,Global,1348.1501804386,35.1853678374,0.338461691,55.6777496067
geometric,125,0.8,0.18,Global,1068.9059797608,30.1563236434,0.2892435103,55.4931591536
geometric,125,0.9,0.18,Global,829.2038863976,37.4643612061,0.3739897018,51.7867603388
