Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
2,1.05,37.6853301272,23.0766749054,0.164139776,14.3358292017,8.2779388904,0.0588793247
4,1.05,20.3353396389,8.9769618059,0.1861334908,40.8783319003,14.5921710704,0.3025624702
5,1.05,20.6937514849,9.4329215073,0.1800425048,38.0375227687,14.3403990102,0.2737096196
6,1.05,27.3495817246,15.3518222147,0.1821413101,21.8938626126,10.9959552633,0.1304612357
7,1.05,23.2953687303,12.2196386512,0.1839256075,29.3368826461,12.603734096,0.189706874
10,1.05,26.3184870979,17.152158789,0.1612398254,14.5766171792,9.3425472729,0.0878251367
12,1.05,14.0689270526,4.1522201023,0.1217560385,34.456577816,11.1901626271,0.3281304551
13,1.05,13.7775412298,3.1846131424,0.119769704,37.7623762376,10.1499422876,0.3817278673
15,1.05,21.2240501959,9.6889977027,0.1477902036,26.6258724988,10.6536531962,0.1625044843
17,1.05,17.2688180686,6.1487173185,0.158600677,39.1157684631,12.8905484128,0.3325001947
18,1.05,29.809880655,16.1946497641,0.1477746898,16.9452123231,8.4546296099,0.0771477177
26,1.05,26.48442005,14.3880327339,0.1759222696,21.5812528031,10.6530806876,0.1302550646
29,1.05,22.0519163533,11.3486336784,0.1596500021,26.7761725708,11.5919290181,0.1630726257
33,1.05,32.7450830189,17.9075206066,0.1837853315,18.3203075627,9.6834071589,0.0993810496
35,1.05,34.7434245071,21.1063806096,0.1785984751,14.4185879994,9.0568278229,0.0766372818
41,1.05,33.7215949693,21.6143469449,0.18271373,14.7869086751,9.5427944066,0.0806686209
43,1.05,31.0759088706,18.9096675599,0.1861869672,19.0589432865,10.7543593275,0.1058887757
54,1.05,45.7239749978,24.7690260784,0.1766244868,14.3599613546,8.6131677612,0.0614193037
57,1.05,18.415838897,7.4645717111,0.1649855745,33.8666340987,12.4911026686,0.2760843929
62,1.05,28.5395811147,15.9713516675,0.1737351212,18.0823571175,9.7265942568,0.1058051358
63,1.05,27.6531721529,15.59742604,0.1658456239,18.020124364,9.6198072577,0.102286296
66,1.05,23.5875597939,11.3175856492,0.1744680569,28.5515684411,11.9942239906,0.1848988838
2,1.45,61.1634233103,29.407556841,0.1902415728,16.0111738858,7.5042960886,0.0485463345
4,1.45,33.5362236808,15.7552472772,0.2049942778,46.3265617065,17.5178791468,0.2279281893
5,1.45,33.5505371506,16.2603519026,0.2067736527,43.207309185,17.0111837767,0.2163215549
6,1.45,38.8146759732,21.1179923657,0.2089661602,24.3184177029,12.0398685989,0.1191365669
7,1.45,35.4142132527,18.7379062303,0.2111656901,33.0143510287,14.4945286654,0.1633452057
10,1.45,35.2027521593,21.9645053369,0.187916228,16.1043771044,9.8524436288,0.0842920892
12,1.45,17.8865968301,7.494866085,0.1220332101,34.4578472959,11.699968478,0.1905016974
13,1.45,17.6819359098,5.8443487871,0.1184124821,37.8448275862,11.4606011906,0.2322034981
15,1.45,29.8594706162,15.1057422999,0.1688662262,28.3817795551,11.8622997093,0.1326079676
17,1.45,25.1559025584,10.0518399181,0.1665390097,41.9917650288,14.2630069119,0.2363096773
18,1.45,43.4749889996,22.9737659349,0.1779575849,18.1254050162,8.5067014036,0.0658939436
26,1.45,37.5757035981,20.1510303038,0.2054089909,23.9854530341,11.8173792945,0.1204601412
29,1.45,32.5521385649,17.2976228733,0.1877627006,29.352303523,12.8813576849,0.1398249068
33,1.45,44.5297653246,23.6163276245,0.2125786252,20.0433479177,10.5909179227,0.0953324669
35,1.45,46.2492223092,26.0749203047,0.2023257911,15.6536817388,9.3541900589,0.0725829219
41,1.45,45.7843491891,27.3074712468,0.2120301217,16.3472599023,10.1479909143,0.0787945442
43,1.45,44.2425339367,25.2591575181,0.2193547783,21.3093514329,11.5342660863,0.1001655094
54,1.45,68.4518520993,28.0727447951,0.1849855941,16.195614416,7.9634470971,0.0524752034
57,1.45,26.1200846653,11.6761410345,0.1721178946,36.9628422425,13.8602530938,0.2043138717
62,1.45,39.5184851217,21.0885135136,0.2002535368,20.0685302074,10.4653574988,0.0993775522
63,1.45,38.1769858792,20.8443906142,0.1912329414,19.7117246023,10.2214420221,0.0937746975
66,1.45,34.68033385,17.1178832644,0.1980435452,31.3426582787,13.0602056901,0.1510986725
4,1.8,48.1730152193,18.508048603,0.1976674356,50.3249686324,17.0822431209,0.1824397193
5,1.8,47.652538873,19.2959726052,0.2027899503,46.9458802739,16.3758709599,0.1721013046
6,1.8,49.6056344491,23.9824048779,0.2149009325,26.0396659708,12.0510876716,0.1079870843
7,1.8,48.2799473195,21.6701332626,0.2134392947,36.013193636,14.5126569064,0.1429419569
10,1.8,42.8481181008,24.4645614996,0.1994997683,17.1064636255,9.864100343,0.0804382181
12,1.8,23.3309455008,11.5190426262,0.1409591194,35.3104222821,12.5977667804,0.1541595226
13,1.8,22.8085286066,8.5470020987,0.1303860515,39.2006050733,12.341629551,0.1882737746
15,1.8,40.2301321798,19.0681802514,0.1797525621,30.2569092686,11.9149145742,0.1123199169
17,1.8,33.3048429717,12.1106605341,0.1598497218,43.9362369338,14.1354859183,0.1865755782
18,1.8,58.8117795478,26.4540445665,0.1860701436,18.760550141,7.7170919569,0.0542798061
26,1.8,47.5004283022,22.7439999337,0.2105023754,25.5459139969,11.6339797657,0.1076758874
29,1.8,43.1890939497,20.796018059,0.1968381057,31.6798064863,13.1941779266,0.1248853017
33,1.8,54.6491662332,26.0847022271,0.2165693923,21.4369614669,10.7258109576,0.0890515192
35,1.8,56.567965745,28.1722182827,0.207846553,16.791693882,9.266730571,0.0683672825
41,1.8,55.9767872953,29.7213352827,0.2210880188,17.5247343958,10.1464621468,0.0754764614
43,1.8,56.0518019491,28.1377331672,0.227561908,22.8540780954,11.6232175224,0.0940019418
54,1.8,87.437873882,21.243330333,0.1349524317,16.8487832439,6.5260358306,0.0414579254
57,1.8,34.119514792,14.2903849337,0.1730674636,38.7389263714,13.7175189783,0.1661296198
62,1.8,48.1813277386,23.3594415319,0.2022026744,21.2123482691,10.4011989541,0.0900342691
63,1.8,48.1814054243,23.4426562184,0.1976893493,21.0135827052,10.0888895495,0.0850784993
