Graph,num_modules,Qvalue,Tvalue,Modules uninfected(%),SD,SE
geometric,10,0.1,0.1,0,0,0
geometric,125,0.1,0.1,0.04014068,0.2181924657,0.0033410289
geometric,125,0.2,0.1,0.0891181989,0.3796089761,0.0058133688
geometric,125,0.3,0.1,0.2178930157,0.5735486431,0.0087659228
geometric,125,0.4,0.1,0.7070610687,1.444992587,0.022317985
geometric,125,0.5,0.1,2.4645225136,2.9488184187,0.0463820432
geometric,125,0.6,0.1,7.6955254943,6.0751066382,0.0979855909
geometric,125,0.7,0.1,22.7042111879,11.1492058265,0.1976486469
geometric,125,0.8,0.1,49.3141439206,11.1713123728,0.3212854405
geometric,125,0.9,0.1,69.6,0.8,0.5656854249
