Graph#,order,genus,species,abbr,group,time_slice,nodes,edges,Q,Qmax,num.modules,avg.degree,std.degree.node,CV.degree.node,wd.d.ratio,std.modsize,CV.modsize,std.avg.deg.mod,CV.avg.deg.mod,avg.modize,avg.deg.mod,std.wd.d.ratio,CV.wd.d.ratio
1,Hymenoptera,Camponotus,fellah,Ant1,1,1,113,3105,0.2608079016,0.4981669999,2,54.9557522124,12.5771174297,0.2288589806,0.7626409018,0.5,0.0088495575,2.8413220551,0.0517256621,56.5,54.9306077694,0.0144243807,0.01893541
2,Hymenoptera,Camponotus,fellah,Ant1,1,2,113,2864,0.2643227135,0.5258450598,3,50.6902654867,12.1989986866,0.2406576207,0.7384776536,24.5673676969,0.6522310008,0.9569812686,0.0186494672,37.6666666667,51.3141343926,0.3395168822,0.6553804447
3,Hymenoptera,Camponotus,fellah,Ant1,1,3,113,2804,0.2681168867,0.5990726642,3,49.6283185841,12.0699984165,0.2432078854,0.6690442225,18.1536650723,0.4819557099,4.1468864038,0.0805027565,37.6666666667,51.5123529412,0.268316729,0.4889171843
4,Hymenoptera,Camponotus,fellah,Ant1,1,4,113,2832,0.2815991174,0.496288383,2,50.1238938053,11.3442767476,0.2263247303,0.7853107345,4.5,0.0796460177,0.3284993695,0.0065571707,56.5,50.0977301387,0.0186355752,0.0237788099
5,Hymenoptera,Camponotus,fellah,Ant1,1,5,113,2835,0.2798891408,0.4957621567,2,50.1769911504,12.4929927889,0.2489785159,0.7841269841,1.5,0.0265486726,3.2896551724,0.0656753408,56.5,50.0896551724,0.0200439096,0.0256223689
6,Hymenoptera,Camponotus,fellah,Ant1,1,6,113,2984,0.2352627777,0.4966568796,2,52.814159292,14.7075013505,0.2784764833,0.7386058981,1.5,0.0265486726,2.9184952978,0.0553409023,56.5,52.736677116,0.0215179226,0.0292027251
7,Hymenoptera,Camponotus,fellah,Ant1,1,7,113,2819,0.270477431,0.4928967286,2,49.8938053097,13.4693114526,0.2699595946,0.7775807024,1.5,0.0265486726,4.6255485893,0.0929366157,56.5,49.7710031348,0.0268924726,0.0347279551
8,Hymenoptera,Camponotus,fellah,Ant1,1,8,113,2789,0.2348305031,0.4951388574,2,49.3628318584,15.263503783,0.3092104567,0.7396916458,1.5,0.0265486726,6.1821316614,0.1248235659,56.5,49.5269592476,0.0259188233,0.0351615211
9,Hymenoptera,Camponotus,fellah,Ant1,1,9,113,2889,0.2235959413,0.5292380319,3,51.1327433628,16.0185204894,0.313273246,0.6943579093,23.2283351869,0.6166814651,5.9502944125,0.1137745299,37.6666666667,52.299002408,0.3066837172,0.610253429
10,Hymenoptera,Camponotus,fellah,Ant1,1,10,113,2783,0.2541210308,0.4733089575,2,49.2566371681,14.577700731,0.2959540393,0.7808120733,3.5,0.0619469027,8.3613207547,0.1715541103,56.5,48.7386792453,0.0534982623,0.0696182648
11,Hymenoptera,Camponotus,fellah,Ant1,1,11,113,2890,0.2379799691,0.4999176854,3,51.1504424779,14.8599486885,0.2905145678,0.7380622837,25.2498624859,0.6703503315,8.5997950158,0.1843904361,37.6666666667,46.639051332,0.3382860658,0.6727082244
12,Hymenoptera,Camponotus,fellah,Ant1,1,12,99,2119,0.2210456373,0.6509654108,3,42.8080808081,12.5944326065,0.2942068967,0.5700802265,8.602325267,0.2606765232,1.9828982929,0.0457734129,33,43.3198698946,0.1362790788,0.2512230378
13,Hymenoptera,Camponotus,fellah,Ant1,1,13,99,2144,0.2257846655,0.6497585461,3,43.3131313131,12.284215432,0.2836141156,0.5760261194,9.8994949366,0.299984695,4.0860813379,0.0918412615,33,44.4906926407,0.1591292218,0.2944917501
14,Hymenoptera,Camponotus,fellah,Ant1,1,14,99,2351,0.1993468303,0.4911375577,2,47.4949494949,13.8697940365,0.2920267141,0.7082092726,1.5,0.0303030303,4.8884803922,0.1032483499,49.5,47.3468137255,0.0395485034,0.0562612441
15,Hymenoptera,Camponotus,fellah,Ant1,1,15,99,2314,0.2263472352,0.4951458523,2,46.7474747475,12.6093947935,0.2697342447,0.7312013829,0.5,0.0101010101,4.1342857143,0.0885177708,49.5,46.7057142857,0.0267445553,0.0367084754
16,Hymenoptera,Camponotus,fellah,Ant1,1,16,99,2348,0.2135240873,0.6445291981,3,47.4343434343,12.8300165853,0.2704794808,0.5689948893,11.0453610172,0.3347079096,4.3389606423,0.0887804885,33,48.8729079733,0.1629920082,0.3085733624
17,Hymenoptera,Camponotus,fellah,Ant1,1,17,99,2311,0.1974096756,0.6327190655,3,46.6868686869,13.9975802127,0.2998183559,0.5646906101,13.1402688963,0.3981899666,5.0363857483,0.1036801301,33,48.5761904762,0.183050267,0.3612839068
18,Hymenoptera,Camponotus,fellah,Ant1,1,18,99,2394,0.1986688386,0.4960790308,2,48.3636363636,13.1552152315,0.27200633,0.7025898079,1.5,0.0303030303,5.7536764706,0.1185396521,49.5,48.5379901961,0.0265452425,0.0379088263
19,Hymenoptera,Camponotus,fellah,Ant1,1,19,99,2229,0.2053310083,0.6660757368,3,45.0303030303,14.8333875011,0.3294090091,0.5392552714,5.3541261347,0.1622462465,7.2039394956,0.1559872619,33,46.1828703704,0.0868718426,0.1617729338
20,Hymenoptera,Camponotus,fellah,Ant1,1,20,99,2190,0.2396195867,0.4985236963,2,44.2424242424,13.6944218601,0.309531453,0.7410958904,4.5,0.0909090909,6.4796296296,0.1445330249,49.5,44.8314814815,0.0141099667,0.0190590443
21,Hymenoptera,Camponotus,fellah,Ant1,1,21,99,2288,0.2211229003,0.4999690541,2,46.2222222222,14.5772450014,0.315373089,0.7211538462,4.5,0.0909090909,4.6037037037,0.0987056301,49.5,46.6407407407,0.0021938555,0.0030422191
22,Hymenoptera,Camponotus,fellah,Ant1,1,22,80,1551,0.1939265905,0.4969568935,2,38.775,12.056092858,0.3109243806,0.696969697,2,0.05,4.9761904762,0.1275167785,40,39.0238095238,0.0237854251,0.0342180158
23,Hymenoptera,Camponotus,fellah,Ant1,1,23,80,1555,0.1815847644,0.5365686873,3,38.875,11.4579393872,0.2947379907,0.6450160772,16.0277537069,0.601040764,3.9550364119,0.1050621347,26.6666666667,37.6447368421,0.2753371614,0.5809567966
24,Hymenoptera,Camponotus,fellah,Ant1,1,24,80,1418,0.1973928296,0.6430909961,3,35.45,11.9099748111,0.335965439,0.5543018336,9.1043335225,0.3414125071,5.5653684912,0.1500888542,26.6666666667,37.0804915515,0.1685407325,0.3301031393
25,Hymenoptera,Camponotus,fellah,Ant1,1,25,80,1404,0.204799474,0.4996712689,2,35.1,11.7437217269,0.3345789666,0.7051282051,4,0.1,4.4545454545,0.1253196931,40,35.5454545455,0.0075657895,0.0107326178
26,Hymenoptera,Camponotus,fellah,Ant1,1,26,80,1452,0.2018212269,0.6157330726,3,36.3,10.9377785679,0.301316214,0.5860881543,9.8770215934,0.3703883098,4.974717099,0.1347979347,26.6666666667,36.9049949453,0.1906307221,0.3690086242
27,Hymenoptera,Camponotus,fellah,Ant1,1,27,80,1399,0.2274572208,0.4983650121,2,34.975,11.1186498731,0.3179027841,0.7290922087,3,0.075,0.6266499057,0.0178930366,40,35.0219987429,0.0155423336,0.021343395
28,Hymenoptera,Camponotus,fellah,Ant1,1,28,80,1501,0.1936068826,0.6186568492,3,37.525,11.0758464688,0.2951591331,0.5749500333,11.1455023315,0.4179563374,2.6726216223,0.0692144505,26.6666666667,38.6136363636,0.2004334026,0.4017575999
29,Hymenoptera,Camponotus,fellah,Ant1,1,29,80,1531,0.2164890969,0.4999639499,2,38.275,10.9589860389,0.2863223002,0.716525147,1,0.025,1.2826766729,0.0334840742,40,38.3070669168,0.0024072102,0.0033596572
30,Hymenoptera,Camponotus,fellah,Ant1,1,30,80,1571,0.1911384373,0.6118895513,3,39.275,11.2782700358,0.2871615541,0.5792488861,11.8133634311,0.4430011287,3.9961234099,0.0978524998,26.6666666667,40.8382352941,0.2188593743,0.4453635431
31,Hymenoptera,Camponotus,fellah,Ant1,1,31,80,1514,0.1935523838,0.5469209439,3,37.85,11.2728656516,0.297830004,0.6466314399,15.4560308258,0.579601156,2.0477740805,0.0551889832,26.6666666667,37.1047619048,0.2726862454,0.5626365834
32,Hymenoptera,Camponotus,fellah,Ant1,1,32,55,726,0.1715758259,0.5916860187,3,26.4,8.0760026116,0.3059091898,0.5798898072,7.845734864,0.4279491744,3.0205086032,0.1142329128,18.3333333333,26.4416666667,0.1945328954,0.3948627263
33,Hymenoptera,Camponotus,fellah,Ant1,1,33,56,718,0.1925856022,0.6424463265,3,25.6428571429,8.6920089972,0.3389641392,0.5501392758,4.7140452079,0.2525381361,2.8947083259,0.1122617273,18.6666666667,25.7853535354,0.1431130759,0.2782386452
34,Hymenoptera,Camponotus,fellah,Ant1,1,34,56,678,0.1870208665,0.6073748488,3,24.2142857143,8.8352263406,0.364876604,0.5796460177,6.9442222187,0.3720119046,1.9918884379,0.0848210023,18.6666666667,23.4834343434,0.1702294537,0.335142811
35,Hymenoptera,Camponotus,fellah,Ant1,1,35,56,779,0.1588018937,0.5965425869,3,27.8214285714,9.7102801616,0.3490216233,0.5622593068,8.3399973355,0.4467855715,2.8821069835,0.1020337096,18.6666666667,28.2466157031,0.202489981,0.4285647851
36,Hymenoptera,Camponotus,fellah,Ant1,1,36,56,766,0.1739010764,0.6242927213,3,27.3571428571,9.0837935975,0.3320446746,0.5496083551,6.9442222187,0.3720119046,0.9461126136,0.0342134131,18.6666666667,27.6532659933,0.1764687403,0.3618215295
37,Hymenoptera,Camponotus,fellah,Ant1,1,37,55,781,0.1668557498,0.4933602312,2,28.4,9.1841761149,0.3233864829,0.6734955186,1.5,0.0545454545,1.7287798408,0.0610753192,27.5,28.3057029178,0.0381317281,0.0569894663
38,Hymenoptera,Camponotus,fellah,Ant1,1,38,55,694,0.1947726084,0.5867034441,3,25.2363636364,8.4594511672,0.3352087999,0.6080691643,7.845734864,0.4279491744,2.5076358012,0.1007907207,18.3333333333,24.8796296296,0.2118860971,0.4141547955
39,Hymenoptera,Camponotus,fellah,Ant1,1,39,55,773,0.1832011501,0.4988544489,2,28.1090909091,8.5486261039,0.3041231796,0.6843467012,0.5,0.0181818182,1.8571428571,0.0659898477,27.5,28.1428571429,0.0151435856,0.0221519919
40,Hymenoptera,Camponotus,fellah,Ant1,1,40,55,769,0.1912224513,0.4890117881,2,27.9636363636,8.1574586871,0.2917166631,0.7022106632,1.5,0.0545454545,2.6279840849,0.0944628513,27.5,27.8202917772,0.0451375861,0.0648976791
41,Hymenoptera,Camponotus,fellah,Ant1,1,41,55,771,0.1842596658,0.4709003921,2,28.0363636364,8.1082755399,0.2892056775,0.7133592737,3.5,0.1272727273,3.247983871,0.1175826582,27.5,27.622983871,0.0734238941,0.1055477669
42,Hymenoptera,Camponotus,fellah,Ant1,2,1,131,4170,0.1981948542,0.6106648782,3,63.6641221374,18.5581860652,0.2915014838,0.587529976,16.8193010821,0.3851748339,4.1760286878,0.0656400367,43.6666666667,63.6201455549,0.1799195966,0.3463566896
43,Hymenoptera,Camponotus,fellah,Ant1,2,2,131,3788,0.2258284303,0.6030723585,3,57.8320610687,18.3370282673,0.3170737464,0.6227560718,20.4178571082,0.4675845139,4.8504835776,0.0809681389,43.6666666667,59.9060771651,0.2387145006,0.4594827419
44,Hymenoptera,Camponotus,fellah,Ant1,2,3,131,4111,0.2023782862,0.4918455691,2,62.7633587786,18.2776850811,0.2912158533,0.7105327171,3.5,0.0534351145,4.6748480598,0.0747813471,65.5,62.5135577373,0.0375796345,0.0532490395
45,Hymenoptera,Camponotus,fellah,Ant1,2,4,131,3887,0.2221515201,0.4907391198,2,59.3435114504,16.933083834,0.2853401058,0.7314124003,3.5,0.0534351145,4.9193548387,0.0832650833,65.5,59.0806451613,0.0372431507,0.0512748238
46,Hymenoptera,Camponotus,fellah,Ant1,2,5,131,4208,0.192508566,0.4895617979,2,64.2442748092,17.308644799,0.2694192572,0.7029467681,5.5,0.0839694656,3.9154929577,0.0612604672,65.5,63.9154929577,0.0438353636,0.0629264092
47,Hymenoptera,Camponotus,fellah,Ant1,2,6,131,4231,0.2065565573,0.4970316223,2,64.5954198473,18.2772451137,0.2829495521,0.709524935,0.5,0.0076335878,4.4842657343,0.0694576078,65.5,64.5611888112,0.0225148686,0.03181009
48,Hymenoptera,Camponotus,fellah,Ant1,2,7,131,4045,0.1693094528,0.4944021599,2,61.7557251908,20.1570519182,0.3263997282,0.674907293,4.5,0.0687022901,2.3024590164,0.0373790736,65.5,61.5975409836,0.0347874115,0.05182664
49,Hymenoptera,Camponotus,fellah,Ant1,2,8,131,3906,0.1828679288,0.480871001,2,59.6335877863,19.9124826042,0.3339138788,0.7019969278,11.5,0.1755725191,1.2320827321,0.0207361054,65.5,59.4172679173,0.0606070684,0.0878182079
50,Hymenoptera,Camponotus,fellah,Ant1,2,9,131,4168,0.180189681,0.4942491819,2,63.6335877863,18.9258118129,0.2974185878,0.685940499,4.5,0.0687022901,2.4642857143,0.0388294879,65.5,63.4642857143,0.0340734253,0.0499400717
51,Hymenoptera,Camponotus,fellah,Ant1,2,10,131,4093,0.1792760357,0.5565054518,3,62.4885496183,19.6602308748,0.3146213345,0.6227705839,23.6126143312,0.5407468931,6.2054012625,0.0989550153,43.6666666667,62.709315376,0.2438038703,0.500703775
52,Hymenoptera,Camponotus,fellah,Ant1,2,11,131,3956,0.1823200108,0.6054747125,3,60.3969465649,19.6086440626,0.3246628377,0.5768452983,19.7709101684,0.4527689352,3.6183185404,0.0584432271,43.6666666667,61.9116828577,0.206250621,0.4215103602
53,Hymenoptera,Camponotus,fellah,Ant1,2,12,111,2647,0.2099879557,0.6410419791,3,47.6936936937,14.866852174,0.3117152609,0.5689459766,10.2306728355,0.2765046712,4.3930935633,0.0913923228,37,48.0685185185,0.1243393331,0.2304255489
54,Hymenoptera,Camponotus,fellah,Ant1,2,13,111,2694,0.2171937942,0.5301113889,3,48.5405405405,14.2713622296,0.2940091328,0.6870824053,22.9927524813,0.6214257427,5.5016391079,0.10908392,37,50.4349230005,0.2981157032,0.5901242615
55,Hymenoptera,Camponotus,fellah,Ant1,2,14,111,2659,0.1930251428,0.6495877604,3,47.9099099099,15.4928344667,0.3233743185,0.5434373825,7.7888809637,0.2105102963,3.2074712974,0.0669067398,37,47.9394348756,0.1222729631,0.2332415974
