Graph#,order,genus,species,Sociality,nodes,edges,Q,Qmax,num.modules,avg.degree,std.degree.node,CV.degree.node,wd.d.ratio,std.modsize,CV.modsize,std.avg.deg.mod,CV.avg.deg.mod,avg.modize,avg.deg.mod,std.wd.d.ratio,CV.wd.d.ratio
1,Hymenoptera,Camponotus,Camponotus pennsylvanicus,Social Structured,14,13,0.5059171598,0.6597633136,3,1.8571428571,0.742307489,0.3997040325,0.8461538462,0.4714045208,0.1010152545,0.108012345,0.0583850513,4.6666666667,1.85,0.0367791475,0.0433370254
2,Hymenoptera,Camponotus,Camponotus pennsylvanicus,Social Structured,17,19,0.4916897507,0.6495844875,3,2.2352941176,1.0588235294,0.4736842105,0.8421052632,0.9428090416,0.1663780662,0.3290886199,0.1476679705,5.6666666667,2.2285714286,0.05343542,0.0632841246
3,Hymenoptera,Camponotus,Camponotus fellah,Social Structured,99,2311,0.1964549356,0.6546981203,3,46.6868686869,13.9975802127,0.2998183559,0.5417568152,9.0921211313,0.2755188222,5.6501177612,0.1174538969,33,48.1049833887,0.1421332008,0.2760744825
4,Hymenoptera,Camponotus,Camponotus fellah,Social Structured,131,4208,0.192508566,0.4895617979,2,64.2442748092,17.308644799,0.2694192572,0.7029467681,5.5,0.0839694656,3.9154929577,0.0612604672,65.5,63.9154929577,0.0438353636,0.0629264092
5,Hymenoptera,Camponotus,Camponotus fellah,Social Structured,115,3289,0.2121232767,0.4857626807,2,57.2,15.7414987409,0.2752010269,0.7263605959,6.5,0.1130434783,3.2273284314,0.0567840009,57.5,56.8351715686,0.0475284448,0.0661642335
6,Hymenoptera,Camponotus,Camponotus fellah,Social Structured,35,282,0.2052713646,0.453498315,2,16.1142857143,5.6708348016,0.3519135072,0.7517730496,1.5,0.0857142857,3.5592105263,0.2251352476,17.5,15.8092105263,0.0834627329,0.1149118119
7,Hymenoptera,Camponotus,Camponotus fellah,Social Structured,66,1059,0.1369399036,0.6468549177,3,32.0909090909,10.1230718669,0.3154498315,0.4900849858,5.3541261347,0.2433693698,1.5758535803,0.0491533103,22,32.0599685276,0.084078334,0.178902074
8,Hymenoptera,Camponotus,Camponotus fellah,Social Structured,118,3341,0.1869633545,0.5784629056,3,56.6271186441,16.7654793692,0.2960680284,0.608500449,21.5458168149,0.5477750038,5.8491643817,0.097950502,39.3333333333,59.7155120708,0.2591341191,0.545314321
9,Chiroptera,Myotis,Myotis sodalis,Social fission-fusion,43,546,0.0611724966,0.6344325699,4,25.3953488372,11.7970030386,0.4645340024,0.4267399267,4.7631397208,0.4430827647,5.3199587122,0.2272081271,10.75,23.4144736842,0.1424292692,0.4279823862
10,Chiroptera,Desmodus,Desmodus rotundus,Social fission-fusion,20,59,0.1704969836,0.6959207124,4,5.9,3.897435054,0.6605822125,0.4745762712,1,0.2,1.8795084685,0.32805966,5,5.7291666667,0.0890764273,0.203057808
