Network,Qrel,Assortativity,Clustering,Betweenness,Path_length,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
2,0.5599402126,-0.1315562828,0.1217338936,0.1218627451,2.8279411765,60.7048486031,31.6496710131,0.2119133666,16.4795122389,8.0462583106,0.0538744838
3,0.0877475597,-0.099983597,0.5618972256,0.005397973,1.5236033807,24.9985364118,12.7163224284,0.1898593093,36.8805171645,14.7006385351,0.2194858689
4,0.0754203633,-0.0746949952,0.5648904835,0.003921197,1.5058344099,24.3680853289,11.6717689757,0.1931924947,42.6356164384,15.9372688905,0.2637955516
5,0.0781001212,-0.0890630086,0.5785370216,0.0044371992,1.5014035088,24.6187775677,12.2462429727,0.1935817135,39.8615692154,15.430061048,0.2439097169
6,0.1449857433,-0.1182961227,0.581591875,0.0161548256,1.5331092437,31.6918229405,18.0738917204,0.1968161019,22.8399146211,11.5779668485,0.1260785634
7,0.1014843424,-0.1181787331,0.5910793076,0.0079159382,1.5066200466,27.2158893555,14.340970443,0.1889916908,30.6825286558,13.3598735519,0.1760623594
8,0.0798332395,-0.0846195222,0.5701555085,0.004478088,1.5194582066,24.2428114489,11.929906193,0.1860417756,39.8601653696,15.470244087,0.2412518281
9,0.0488769731,-0.1171579489,0.8893991861,0.0102827972,1.4215946844,29.6198427153,15.5930175206,0.1915453801,25.2541119662,11.7878745982,0.1448028207
10,0.2200497174,-0.2603556998,0.5124209402,0.0493333333,1.888,29.739574816,19.2396249468,0.1739736092,15.1848732625,9.6108798118,0.0869060313
11,0.8918059663,-0.0303161204,0.488890225,0.0493691099,6.233125649,14.1514648977,4.2189056382,0.0871221107,28.3769722814,9.0274812961,0.1864211462
12,0.9067157636,0.0693877551,0.5162520663,0.0415920533,7.0724397867,13.3284851609,3.3061689572,0.0862903074,32.6832425068,10.019793346,0.2615144776
13,0.9137452717,0.1212180641,0.4934293437,0.0370653833,8.1165536029,13.4944250254,2.7970917319,0.091621786,35.1963519313,9.7500449871,0.3193733424
14,0.8108882521,-0.2654867257,0.3185185185,0.1527777778,3.4444444444,31.4349409913,18.7619162805,0.1349184725,13.7673492605,7.8354162802,0.0563451185
15,0.4179272015,-0.0605512432,0.1190563971,0.0269451789,2.6167107351,37.3380233851,21.463884477,0.2577791113,30.3027549401,12.0096211093,0.1442343514
17,0.1722011535,-0.1304383014,0.3243162924,0.0067337931,1.9898675857,19.6669063954,8.1739457511,0.1723602135,39.950644731,13.6296292989,0.2874016891
