Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
2,1.05,52.8527029786,31.355204479,0.2177024845,15.9679907443,8.4700953778,0.0588087636
3,1.05,21.1492662712,10.1661913118,0.1797707575,35.4449656035,13.9007449819,0.2458096035
4,1.05,20.5433981217,9.0346121137,0.1855426412,40.7077182623,14.3543815696,0.2947940472
5,1.05,20.650333648,9.3034948841,0.1784848275,37.8041958042,13.8675557597,0.2660450002
6,1.05,27.8438668915,15.4781883473,0.1802838905,22.2177452177,10.9788558573,0.1278774236
7,1.05,23.2805583929,11.9536339279,0.1791925486,29.5694382022,12.6652230523,0.1898597205
8,1.05,20.4502779263,9.2633612925,0.1774212673,38.4090242113,14.0688347866,0.2694605575
9,1.05,25.9339984263,13.2947594077,0.178828095,24.4924914058,11.3123605915,0.1521628058
10,1.05,26.2364636961,17.1939161557,0.1619906437,14.4724835789,9.1437324954,0.0861466986
11,1.05,13.2570667421,3.3885679312,0.0854925171,29.013367282,9.17815465,0.2315619929
12,1.05,12.7926723515,3.0029368575,0.1097982458,33.8262032086,10.594583321,0.3873763314
13,1.05,12.9763754111,2.3485203093,0.1038924218,35.6966731898,10.4873406441,0.463932636
14,1.05,27.2459191998,15.9639597747,0.1195173701,13.3071016199,7.8023492839,0.0584138447
15,1.05,32.8594810685,19.5492710899,0.2641070041,29.7202044169,11.8522885014,0.1601222057
16,1.05,26.742709958,7.2865815168,0.1310188755,61.1610087294,15.8100981621,0.284278887
17,1.05,17.4974063295,6.5864523489,0.1722573921,39.5287277702,13.2344504798,0.3461244088
18,1.05,48.6172919805,27.188395029,0.224966537,19.6288511571,9.3452610461,0.0773260434
20,1.05,36.7195,27.0302528614,0.1709543295,9.337,7.4878188413,0.0473571245
21,1.05,45.6857142857,29.0873280495,0.1839644154,9.7806,7.3664960219,0.0465898116
22,1.05,44.5695,29.0932280737,0.1840017304,10.27436,7.6987665629,0.048691275
23,1.05,50.1262222222,30.1021121247,0.1903824734,11.40328,7.6865912628,0.0486142717
24,1.05,34.3902222222,26.6305129587,0.1684261524,9.59408,7.9850778928,0.0505020669
26,1.05,26.794336268,14.8209406941,0.1814869536,21.8445044235,10.8894563488,0.1333447249
27,1.05,31.5793192127,17.6838284043,0.184056821,18.4713465497,9.932281659,0.1033771729
28,1.05,28.1686260103,19.4914740556,0.1670765972,14.9493754592,9.8196152407,0.0841715663
29,1.05,23.2652350184,12.3526027154,0.1702876107,27.2641581148,12.2146239889,0.168385496
30,1.05,52.2406666667,30.0364865455,0.1899674208,9.78928,7.161770527,0.0452950139
31,1.05,35.6298864641,22.1067663683,0.1822777451,14.5056088109,9.1867148448,0.0757475625
33,1.05,32.9425280726,18.3702616424,0.1889128979,18.3848350254,9.8777991671,0.1015795911
